date,location,new_cases,total_cases,total_deaths
2022/1/21,North America,1035942,82239715,1267626
2022/1/21,North Macedonia,2071,252947,8177
2022/1/21,Norway,24958,596613,1414
2022/1/21,Oceania,44202,2305985,5385
2022/1/21,Oman,,318272,4125
2022/1/21,Pakistan,6540,1360019,29077
2022/1/21,Palau,0,208,
2022/1/21,Palestine,1240,480583,5042
2022/1/21,Panama,11933,626890,7574
2022/1/21,Papua New Guinea,0,36446,596
2022/1/21,Paraguay,,516555,16887
2022/1/21,Peru,59470,2839519,203994
2022/1/21,Philippines,32605,3357083,53309
2022/1/21,Poland,36664,4443217,103626
2022/1/21,Portugal,58530,2118125,19496
2022/1/21,Qatar,3204,317277,632
2022/1/21,Romania,19649,1983670,59477
2022/1/21,Russia,49127,10804032,318200
2022/1/21,Rwanda,428,127655,1428
2022/1/21,Saint Helena,0,4,
2022/1/21,Saint Kitts and Nevis,49,5190,28
2022/1/21,Saint Lucia,424,18746,316
2022/1/21,Saint Pierre and Miquelon,32,630,
2022/1/21,Saint Vincent and the Grenadines,0,6615,90
2022/1/21,Samoa,0,13,
2022/1/21,San Marino,188,11466,107
2022/1/21,Sao Tome and Principe,13,5798,68
2022/1/21,Saudi Arabia,4884,643211,8916
2022/1/21,Senegal,103,83855,1921
2022/1/21,Serbia,16403,1518024,13211
2022/1/21,Seychelles,,34367,143
2022/1/21,Sierra Leone,5,7572,125
2022/1/21,Singapore,10264,307813,846
2022/1/21,Slovakia,8190,1447067,17577
2022/1/21,Slovenia,9860,579480,5743
2022/1/21,Solomon Islands,0,81,
2022/1/21,Somalia,0,24322,1335
2022/1/21,South Africa,3519,3576379,93949
2022/1/21,South America,452611,45059559,1202908
2022/1/21,South Korea,7005,726274,6529
2022/1/21,South Sudan,26,16653,137
2022/1/21,Spain,141095,8975458,91741
2022/1/21,Sri Lanka,840,600203,15272
2022/1/21,Sudan,,53959,3393
2022/1/21,Summer Olympics 2020,0,865,
2022/1/21,Suriname,715,69275,1231
2022/1/21,Sweden,42295,1784005,15674
2022/1/21,Switzerland,38002,1879319,12579
2022/1/21,Syria,40,50902,2962
2022/1/21,Taiwan,68,18109,851
2022/1/21,Tajikistan,0,17493,125
2022/1/21,Tanzania,,32393,753
2022/1/21,Thailand,8112,2369814,22019
2022/1/21,Timor,0,19866,122
2022/1/21,Togo,,36176,266
2022/1/21,Tonga,0,1,
2022/1/21,Trinidad and Tobago,1259,105264,3278
2022/1/21,Tunisia,9787,826838,25912
2022/1/21,Turkey,72555,10808770,85600
2022/1/21,Turks and Caicos Islands,82,5524,33
2022/1/21,Uganda,286,159807,3463
2022/1/21,Ukraine,20542,4003280,105545
2022/1/21,United Arab Emirates,2921,819866,2207
2022/1/21,United Kingdom,96056,15747291,153616
2022/1/21,United States,879980,70209840,864556
2022/1/21,Upper middle income,794602,95612922,2305841
2022/1/21,Uruguay,12874,569037,6284
2022/1/21,Uzbekistan,1321,210899,1532
2022/1/21,Vanuatu,0,7,1
2022/1/21,Vatican,0,29,
2022/1/21,Venezuela,2318,465463,5399
2022/1/21,Vietnam,15935,2110737,36443
2022/1/21,Wallis and Futuna,0,454,7
2022/1/21,World,3882501,346464304,5585224
2022/1/21,Yemen,78,10585,1995
2022/1/21,Zambia,616,300587,3885
2022/1/21,Zimbabwe,409,227961,5288
