date,location,total_cases,total_deaths
2022/1/21,Djibouti,15250,189
2022/1/21,New Caledonia,15195,282
2022/1/21,Central African Republic,13509,109
2022/1/21,Faeroe Islands,13207,15
2022/1/21,Hong Kong,12918,213
2022/1/21,Cayman Islands,12023,15
2022/1/21,Gambia,11572,347
2022/1/21,Gibraltar,11557,100
2022/1/21,San Marino,11466,107
2022/1/21,Grenada,10960,205
2022/1/21,Yemen,10585,1995
2022/1/21,Bermuda,9766,112
2022/1/21,Greenland,9407,4
2022/1/21,Eritrea,9192,90
2022/1/21,Niger,8503,295
2022/1/21,Dominica,8421,49
2022/1/21,Comoros,7793,159
2022/1/21,Liechtenstein,7746,73
2022/1/21,Sierra Leone,7572,125
2022/1/21,Monaco,7304,45
2022/1/21,Guinea-Bissau,7284,153
2022/1/21,Liberia,7208,288
2022/1/21,Chad,6889,185
2022/1/21,Saint Vincent and the Grenadines,6615,90
2022/1/21,Bonaire Sint Eustatius and Saba,6180,27
2022/1/21,Antigua and Barbuda,5815,122
2022/1/21,Sao Tome and Principe,5798,68
2022/1/21,British Virgin Islands,5602,47
2022/1/21,Turks and Caicos Islands,5524,33
2022/1/21,Saint Kitts and Nevis,5190,28
2022/1/21,Bhutan,3458,3
2022/1/21,Anguilla,2187,7
2022/1/21,Summer Olympics 2020,865,
2022/1/21,International,721,15
2022/1/21,Saint Pierre and Miquelon,630,
2022/1/21,Wallis and Futuna,454,7
2022/1/21,Palau,208,
2022/1/21,Montserrat,152,1
2022/1/21,Falkland Islands,86,
2022/1/21,Solomon Islands,81,
2022/1/21,Macao,79,
2022/1/21,Vatican,29,
2022/1/21,Samoa,13,
2022/1/21,Marshall Islands,7,
2022/1/21,Vanuatu,7,1
2022/1/21,Saint Helena,4,
2022/1/21,Cook Islands,2,
2022/1/21,Kiribati,2,
2022/1/21,Micronesia (country),1,
2022/1/21,Tonga,1,
